doc_type	doc_id	num	date_str	description	url_metadata	lang	newspaper_id	time_ut
lk_news	2026-01-07-adalk-62fda30c	adalk-62fda30c	2026-01-07	ඇමෙරිකාව තවත් නෞකාවක් සිය භාරයට ගනියි	https://www.ada.lk/international/ඇමෙරිකාව-තවත්-නෞකාවක්-සිය-භාරයට-ගනියි/3-420679	si	adalk	1767802573.0
lk_news	2026-01-07-adalk-5cf38ec7	adalk-5cf38ec7	2026-01-07	රුසියානු ධජය සහිත තෙල් නැවක් ඇමෙරිකාව අත්අඩංගුවට ගනියි	https://www.ada.lk/international/රුසියානු-ධජය-සහිත-තෙල්-නැවක්-ඇමෙරිකාව-අත්අඩංගුවට-ගනියි/3-420678	si	adalk	1767802080.0
lk_news	2026-01-07-tamilmirrorlk-7c09f4b8	tamilmirrorlk-7c09f4b8	2026-01-07	யாழில் பட்டத்துடன் பறந்த இளைஞன்	https://www.tamilmirror.lk/செய்திகள்/யாழில்-பட்டத்துடன்-பறந்த-இளைஞன்/175-370743	ta	tamilmirrorlk	1767796841.0
lk_news	2026-01-07-tamilmirrorlk-3c49c6f2	tamilmirrorlk-3c49c6f2	2026-01-07	சேதங்களுக்கான கொடுப்பனவு குறித்து பாதுகாப்பு அமைச்சின் அறிவிப்பு	https://www.tamilmirror.lk/செய்திகள்/சேதங்களுக்கான-கொடுப்பனவு-குறித்து-பாதுகாப்பு-அமைச்சின்-அறிவிப்பு/175-370742	ta	tamilmirrorlk	1767795003.0
lk_news	2026-01-07-tamilmirrorlk-a5802f43	tamilmirrorlk-a5802f43	2026-01-07	விஜய் ரசிகர்களுக்கு பேரதிர்ச்சி : “ஜனநாயகன் படத்திற்கு “செக்”	https://www.tamilmirror.lk/cinema/விஜய்-ரசிகர்களுக்கு-பேரதிர்ச்சி-ஜனநாயகன்-படத்திற்கு-செக்/54-370741	ta	tamilmirrorlk	1767793129.0
lk_news	2026-01-07-tamilmirrorlk-7af943f1	tamilmirrorlk-7af943f1	2026-01-07	மறு அறிவித்தல்  வரை கடலுக்குச் செல்ல வேண்டாம்	https://www.tamilmirror.lk/செய்திகள்/மறு-அறிவித்தல்-வரை-கடலுக்குச்-செல்ல-வேண்டாம்/175-370740	ta	tamilmirrorlk	1767789538.0
lk_news	2026-01-07-adalk-f78754c4	adalk-f78754c4	2026-01-07	හෙට බොහෝ ප්‍ර දේශවලට මිලි මීටර් 100ක් දක්වා තද වැසි	https://www.ada.lk/breaking_news/හෙට-බොහෝ-ප්‍ර-දේශවලට-මිලි-මීටර්-100ක්-දක්වා-තද-වැසි/11-420677	si	adalk	1767786364.0
lk_news	2026-01-07-tamilmirrorlk-13c398f1	tamilmirrorlk-13c398f1	2026-01-07	செவ்வந்தியுடன் கைதான யாழ். தக்ஷிக்கு விளக்கமறியல்	https://www.tamilmirror.lk/செய்திகள்/செவ்வந்தியுடன்-கைதான-யாழ்-தக்ஷிக்கு-விளக்கமறியல்/175-370739	ta	tamilmirrorlk	1767785120.0
lk_news	2026-01-07-adalk-72e413ca	adalk-72e413ca	2026-01-07	සාරා ජස්මින් ජීවත්ව සිටින බවට තොරතුරු හෙළිව තිබෙනවා	https://www.ada.lk/breaking_news/සාරා-ජස්මින්-ජීවත්ව-සිටින-බවට-තොරතුරු-හෙළිව-තිබෙනවා/11-420675	si	adalk	1767784991.0
lk_news	2026-01-07-adalk-60f83295	adalk-60f83295	2026-01-07	මන්ත්‍රී විශ්‍රාම වැටුප් අහිමි කිරීමේ පනත පළමුවරට කියවයි	https://www.ada.lk/breaking_news/මන්ත්‍රී-විශ්‍රාම-වැටුප්-අහිමි-කිරීමේ-පනත-පළමුවරට-කියවයි/11-420674	si	adalk	1767784685.0
lk_news	2026-01-07-adalk-9283cecf	adalk-9283cecf	2026-01-07	නාවලපිටිය සුපිරි වෙළඳ සංකීර්ණයේ වෙළඳසැල් 15කට සීල් තබයි	https://www.ada.lk/breaking_news/නාවලපිටිය-සුපිරි-වෙළඳ-සංකීර්ණයේ-වෙළඳසැල්-15කට-සීල්-තබයි/11-420673	si	adalk	1767784172.0
lk_news	2026-01-07-tamilmirrorlk-42b9e481	tamilmirrorlk-42b9e481	2026-01-07	ஐ.நா பாதுகாப்பு சபை அவசரமாக கூடுகிறதாம்…	https://www.tamilmirror.lk/சிந்தனை-சித்திரம்/ஐ-நா-பாதுகாப்பு-சபை-அவசரமாக-கூடுகிறதாம்/62-370737	ta	tamilmirrorlk	1767783869.0
lk_news	2026-01-07-adalk-26ef8387	adalk-26ef8387	2026-01-07	සිනමන් එයා ගුවන් අනතුර ගැන විධිමත් විමර්ශනයක්	https://www.ada.lk/breaking_news/සිනමන්-එයා-ගුවන්-අනතුර-ගැන-විධිමත්-විමර්ශනයක්/11-420672	si	adalk	1767782458.0
lk_news	2026-01-07-adalk-53cac461	adalk-53cac461	2026-01-07	තංගල්ල පොලිස් කූඩුවේ සිටි සැකකරු සිරමැදිරියේ දොර ඇරගෙන අතුරුදන් වෙලා	https://www.ada.lk/breaking_news/තංගල්ල-පොලිස්-කූඩුවේ-සිටි-සැකකරු-සිරමැදිරියේ-දොර-ඇරගෙන-අතුරුදන්-වෙලා/11-420671	si	adalk	1767781641.0
lk_news	2026-01-07-adalk-e26068a0	adalk-e26068a0	2026-01-07	අලිකොටආර ජලාශයේ වාන් දොරටු තුනක් අඩිය බැගින් විවෘත කෙරේ	https://www.ada.lk/breaking_news/අලිකොටආර-ජලාශයේ-වාන්-දොරටු-තුනක්-අඩිය-බැගින්-විවෘත-කෙරේ/11-420670	si	adalk	1767780534.0
lk_news	2026-01-07-adalk-69d056ca	adalk-69d056ca	2026-01-07	දිට්වා නිසා පවුල් 58,710 ක පුද්ගලයින් 1,98,405 ක් තවමත් අවතැන්	https://www.ada.lk/breaking_news/දිට්වා-නිසා-පවුල්-58-710-ක-පුද්ගලයින්-1-98-405-ක්-තවමත්-අවතැන්/11-420669	si	adalk	1767780156.0
lk_news	2026-01-07-tamilmirrorlk-f6ba2dcd	tamilmirrorlk-f6ba2dcd	2026-01-07	மகளை தாக்கிய ‘போதை’ தந்தை கைது	https://www.tamilmirror.lk/செய்திகள்/மகளை-தாக்கிய-போதை-தந்தை-கைது/175-370735	ta	tamilmirrorlk	1767779901.0
lk_news	2026-01-07-tamilmirrorlk-845b0c75	tamilmirrorlk-845b0c75	2026-01-07	‘செவ்வந்தி’யின் பெயரை கூறி பண மோசடி	https://www.tamilmirror.lk/செய்திகள்/செவ்வந்தி-யின்-பெயரை-கூறி-பண-மோசடி/175-370734	ta	tamilmirrorlk	1767779228.0
lk_news	2026-01-07-tamilmirrorlk-f6b0cd90	tamilmirrorlk-f6b0cd90	2026-01-07	’’குஷ்’’ ஷூடன் ஒருவர் சிக்கினார்	https://www.tamilmirror.lk/செய்திகள்/குஷ்-ஷூடன்-ஒருவர்-சிக்கினார்/175-370733	ta	tamilmirrorlk	1767779174.0
lk_news	2026-01-07-tamilmirrorlk-ec17e1dc	tamilmirrorlk-ec17e1dc	2026-01-07	’’குஷ்’’ போதைப்பொருளுடன் ஒருவர் சிக்கினார்	https://www.tamilmirror.lk/செய்திகள்/குஷ்-போதைப்பொருளுடன்-ஒருவர்-சிக்கினார்/175-370733	ta	tamilmirrorlk	1767779174.0
lk_news	2026-01-07-adalk-c7f93b9d	adalk-c7f93b9d	2026-01-07	විදේශ රැකියා වංචනිකයින්ට එරෙහි නඩුවලින් රුපියල් ලක්ෂ 3743 ක් යළි වින්දිතයින්ට	https://www.ada.lk/breaking_news/විදේශ-රැකියා-වංචනිකයින්ට-එරෙහි-නඩුවලින්-රුපියල්-ලක්ෂ-3743-ක්-යළි-වින්දිතයින්ට/11-420668	si	adalk	1767778271.0
lk_news	2026-01-07-adalk-7e13d153	adalk-7e13d153	2026-01-07	වළ දමා තිබූ පුපුරණ ද්‍රව්‍ය විශාල ප්‍රමාණයක් සොයා ගනී	https://www.ada.lk/breaking_news/වළ-දමා-තිබූ-පුපුරණ-ද්‍රව්‍ය-විශාල-ප්‍රමාණයක්-සොයා-ගනී/11-420667	si	adalk	1767777991.0
lk_news	2026-01-07-adalk-8873012b	adalk-8873012b	2026-01-07	ග්‍රෙගරි වැවට කඩා වැටුණු සී ප්ලෙන් අනතුර - ගුවන් නියමුවන්ට බරපතල නෑ	https://www.ada.lk/picture_story/ග්‍රෙගරි-වැවට-කඩා-වැටුණු-සී-ප්ලෙන්-අනතුර---ගුවන්-නියමුවන්ට-බරපතල-නෑ/10-420666	si	adalk	1767777330.0
lk_news	2026-01-07-tamilmirrorlk-a2cd7e4a	tamilmirrorlk-a2cd7e4a	2026-01-07	சாரா ஜாஸ்மின் இறக்கவில்லை: அமைச்சர்	https://www.tamilmirror.lk/பிரசித்த-செய்தி/சாரா-ஜாஸ்மின்-இறக்கவில்லை-அமைச்சர்/150-370731	ta	tamilmirrorlk	1767775462.0
lk_news	2026-01-07-tamilmirrorlk-e5b933a4	tamilmirrorlk-e5b933a4	2026-01-07	நுவரெலியாவில் விமான  விபத்து: இருவர் காயம்	https://www.tamilmirror.lk/மலையகம்/நுவரெலியாவில்-விமான-விபத்து-இருவர்-காயம்/76-370730	ta	tamilmirrorlk	1767774880.0
lk_news	2026-01-07-adalk-94574e4c	adalk-94574e4c	2026-01-07	පාකිස්තාන - ශ්‍රී ලංකා පළමු විස්සයි 20 තරගය අද	https://www.ada.lk/sports/පාකිස්තාන---ශ්‍රී-ලංකා-පළමු-විස්සයි-20-තරගය-අද/9-420665	si	adalk	1767774376.0
lk_news	2026-01-07-tamilmirrorlk-7efd165b	tamilmirrorlk-7efd165b	2026-01-07	யாழில் 650 மில்லி மீற்றருக்கும் மேல் மழை:   பிரதீபராஜா எச்சரிக்கை	https://www.tamilmirror.lk/செய்திகள்/யாழில்-650-மில்லி-மீற்றருக்கும்-மேல்-மழை-பிரதீபராஜா-எச்சரிக்கை/175-370729	ta	tamilmirrorlk	1767773827.0
lk_news	2026-01-07-tamilmirrorlk-bca472fc	tamilmirrorlk-bca472fc	2026-01-07	தித்வா புயலின் பின்னரான கடன்: ஏன் இலங்கை அவதானத்துடன் இருக்க வேண்டும்	https://www.tamilmirror.lk/வணிகம்/தித்வா-புயலின்-பின்னரான-கடன்-ஏன்-இலங்கை-அவதானத்துடன்-இருக்க-வேண்டும்/47-370728	ta	tamilmirrorlk	1767773335.0
lk_news	2026-01-07-tamilmirrorlk-0c104ed2	tamilmirrorlk-0c104ed2	2026-01-07	”ஆண்களின் முகத்தில் குத்தி ஊதியம் பெறுவது சிறந்தது”	https://www.tamilmirror.lk/பிரதான-விளையாட்டு/ஆண்களின்-முகத்தில்-குத்தி-ஊதியம்-பெறுவது-சிறந்தது/44-370726	ta	tamilmirrorlk	1767770582.0
lk_news	2026-01-07-tamilmirrorlk-740498b0	tamilmirrorlk-740498b0	2026-01-07	‘கூடல்’ கணித ஆசிரியைக்கு வாழ்நாள் தடை	https://www.tamilmirror.lk/உலக-செய்திகள்/கூடல்-கணித-ஆசிரியைக்கு-வாழ்நாள்-தடை/50-370725	ta	tamilmirrorlk	1767769451.0
lk_news	2026-01-07-tamilmirrorlk-2627a5c3	tamilmirrorlk-2627a5c3	2026-01-07	முதல் டி20 ; இலங்கை - பாகிஸ்தான் இன்று மோதுகின்றன	https://www.tamilmirror.lk/பிரதான-விளையாட்டு/முதல்-டி20-இலங்கை-பாகிஸ்தான்-இன்று-மோதுகின்றன/44-370724	ta	tamilmirrorlk	1767768484.0
lk_news	2026-01-07-tamilmirrorlk-8b46f6a4	tamilmirrorlk-8b46f6a4	2026-01-07	மீண்டும் நிலச்சரிவு அபாய எச்சரிக்கை	https://www.tamilmirror.lk/மலையகம்/மீண்டும்-நிலச்சரிவு-அபாய-எச்சரிக்கை/76-370723	ta	tamilmirrorlk	1767767618.0
lk_news	2026-01-07-tamilmirrorlk-f7400329	tamilmirrorlk-f7400329	2026-01-07	பாராளுமன்ற முன்னாள் செயலாளர் நாயகம் நிஹால் காலமானார்	https://www.tamilmirror.lk/செய்திகள்/பாராளுமன்ற-முன்னாள்-செயலாளர்-நாயகம்-நிஹால்-காலமானார்/175-370722	ta	tamilmirrorlk	1767766687.0
lk_news	2026-01-07-tamilmirrorlk-095f4e84	tamilmirrorlk-095f4e84	2026-01-07	சபையில் கஜேந்திரகுமாருக்கு அருகில் அமர முடியாது: அர்ச்சுனா	https://www.tamilmirror.lk/செய்திகள்/சபையில்-கஜேந்திரகுமாருக்கு-அருகில்-அமர-முடியாது-அர்ச்சுனா/175-370721	ta	tamilmirrorlk	1767766383.0
lk_news	2026-01-07-tamilmirrorlk-a9f85d61	tamilmirrorlk-a9f85d61	2026-01-07	ஐ.நா.சாசனத்தை மீறிச் செயற்பட முடியாது: ஹக்கீம் காட்டம்	https://www.tamilmirror.lk/செய்திகள்/ஐ-நா-சாசனத்தை-மீறிச்-செயற்பட-முடியாது-ஹக்கீம்-காட்டம்/175-370720	ta	tamilmirrorlk	1767766072.0
lk_news	2026-01-07-tamilmirrorlk-009ec3e4	tamilmirrorlk-009ec3e4	2026-01-07	ஜாய் எதிர் மாதம்பட்டி வழக்கு: நீதிமன்றம் அதிரடி உத்தரவு	https://www.tamilmirror.lk/cinema/ஜாய்-எதிர்-மாதம்பட்டி-வழக்கு-நீதிமன்றம்-அதிரடி-உத்தரவு/54-370718	ta	tamilmirrorlk	1767764993.0
lk_news	2026-01-07-tamilmirrorlk-c63d7139	tamilmirrorlk-c63d7139	2026-01-07	நுரை தள்ளும் காத்தான்குடி கடல்	https://www.tamilmirror.lk/செய்திகள்/நுரை-தள்ளும்-காத்தான்குடி-கடல்/175-370717	ta	tamilmirrorlk	1767764511.0
lk_news	2026-01-07-adalk-969bfcea	adalk-969bfcea	2026-01-07	නයාරු කලපුවේ ප්‍රවාහනය වෙනුවෙන් නාවික හමුදාවේ මෙහෙයුම අවසන්	https://www.ada.lk/breaking_news/නයාරු-කලපුවේ-ප්‍රවාහනය-වෙනුවෙන්-නාවික-හමුදාවේ-මෙහෙයුම-අවසන්/11-420663	si	adalk	1767764449.0
lk_news	2026-01-07-tamilmirrorlk-f5f84050	tamilmirrorlk-f5f84050	2026-01-07	ஜனாதிபதி செயலகத்திற்குப் பின்னால் சல்லாபம்: மாணவியும் கான்ஸ்டபிளும் கைது	https://www.tamilmirror.lk/செய்திகள்/ஜனாதிபதி-செயலகத்திற்குப்-பின்னால்-சல்லாபம்-மாணவியும்-கான்ஸ்டபிளும்-கைது/175-370716	ta	tamilmirrorlk	1767764037.0
lk_news	2026-01-07-adalk-e8cf11d2	adalk-e8cf11d2	2026-01-07	අත්දෙකේ මැණික් කටුවෙන් පහළින් වෙන් වෙන්නම කපා කොටස් රැගෙන ගිහින්	https://www.ada.lk/breaking_news/අත්දෙකේ-මැණික්-කටුවෙන්-පහළින්-වෙන්-වෙන්නම-කපා-කොටස්-රැගෙන-ගිහින්/11-420662	si	adalk	1767763824.0
lk_news	2026-01-07-tamilmirrorlk-116e81fb	tamilmirrorlk-116e81fb	2026-01-07	விந்தணு தானம் செய்பவர்களின் கவனத்துக்கு	https://www.tamilmirror.lk/செய்திகள்/விந்தணு-தானம்-செய்பவர்களின்-கவனத்துக்கு/175-370715	ta	tamilmirrorlk	1767763655.0
lk_news	2026-01-07-adalk-8072146b	adalk-8072146b	2026-01-07	තායිලන්ත භික්ෂුවකගේ ඩොලර් සොරා ගත් චීන ජාතිකයා ඇල්ලූ මෙහෙයුම	https://www.ada.lk/breaking_news/තායිලන්ත-භික්ෂුවකගේ-ඩොලර්-සොරා-ගත්-චීන-ජාතිකයා-ඇල්ලූ-මෙහෙයුම/11-420661	si	adalk	1767763104.0
lk_news	2026-01-07-tamilmirrorlk-8c6cfe6c	tamilmirrorlk-8c6cfe6c	2026-01-07	பொங்கலுடன் புறப்படுகிறார் ஜூலி சங்	https://www.tamilmirror.lk/செய்திகள்/பொங்கலுடன்-புறப்படுகிறார்-ஜூலி-சங்/175-370714	ta	tamilmirrorlk	1767762179.0
lk_news	2026-01-07-tamilmirrorlk-07695e6a	tamilmirrorlk-07695e6a	2026-01-07	இரணைமடு வான் பாய்கிறது	https://www.tamilmirror.lk/செய்திகள்/இரணைமடு-வான்-பாய்கிறது/175-370713	ta	tamilmirrorlk	1767761738.0
lk_news	2026-01-07-tamilmirrorlk-f631cd34	tamilmirrorlk-f631cd34	2026-01-07	டிரம்ப் ஒரு கோழை: தைரியம் இருந்தால் என்னை கைது செய்யட்டும்	https://www.tamilmirror.lk/உலக-செய்திகள்/டிரம்ப்-ஒரு-கோழை-தைரியம்-இருந்தால்-என்னை-கைது-செய்யட்டும்/50-370711	ta	tamilmirrorlk	1767760805.0
lk_news	2026-01-07-tamilmirrorlk-bc764562	tamilmirrorlk-bc764562	2026-01-07	கயிருடன் தயிர்வடைகள் பறிமுதல்	https://www.tamilmirror.lk/செய்திகள்/கயிருடன்-தயிர்வடைகள்-பறிமுதல்/175-370710	ta	tamilmirrorlk	1767760482.0
lk_news	2026-01-07-tamilmirrorlk-db4c7f8a	tamilmirrorlk-db4c7f8a	2026-01-07	பிரதமருக்கு எதிராக நம்பிக்கையில்லாப் பிரேரணை	https://www.tamilmirror.lk/செய்திகள்/பிரதமருக்கு-எதிராக-நம்பிக்கையில்லாப்-பிரேரணை/175-370709	ta	tamilmirrorlk	1767759924.0
