doc_type	doc_id	num	date_str	description	url_metadata	lang	newspaper_id	time_ut
lk_news	2025-10-07-lankadeepalk-aac9ea4a	lankadeepalk-aac9ea4a	2025-10-07	කර්මාන්ත අමාත්‍යාංශයේ ලාභාංශ මිලියන 757.4 ක් භාණ්ඩාගාරයට දෙයි	https://www.lankadeepa.lk/news/කරමනත-අමතයශය-ලභශ-මලයන-757-4-ක-භණඩගරයට-දය/101-680884	si	lankadeepalk	1759843688.0
lk_news	2025-10-07-virakesarilk-814e0ba8	virakesarilk-814e0ba8	2025-10-07	பப்புவா நியூ கினியாவில் சக்திவாய்ந்த நிலநடுக்கம்	https://www.virakesari.lk/article/227159	ta	virakesarilk	1759843620.0
lk_news	2025-10-07-lankadeepalk-1a77db61	lankadeepalk-1a77db61	2025-10-07	පැරා ශූරයෝ ලංකාවට	https://www.lankadeepa.lk/news/පර-ශරය-ලකවට/101-680881	si	lankadeepalk	1759842998.0
lk_news	2025-10-07-tamilmirrorlk-408f6f59	tamilmirrorlk-408f6f59	2025-10-07	323 கொள்கலன்கள் சர்ச்சை;குழு நியமனம்	https://www.tamilmirror.lk/செய்திகள்/323-கொள்கலன்கள்-சர்ச்சை-குழு-நியமனம்/175-365913	ta	tamilmirrorlk	1759842654.0
lk_news	2025-10-07-tamilmirrorlk-17586e37	tamilmirrorlk-17586e37	2025-10-07	பந்தயம் மற்றும் சூதாட்ட வரி மீதான வர்த்தமானி வெளியீடு	https://www.tamilmirror.lk/செய்திகள்/பந்தயம்-மற்றும்-சூதாட்ட-வரி-மீதான-வர்த்தமானி-வெளியீடு/175-365912	ta	tamilmirrorlk	1759842095.0
lk_news	2025-10-07-virakesarilk-2e54fe66	virakesarilk-2e54fe66	2025-10-07	களுத்துறையில் குறைந்த வருமான குடும்பங்களுக்கு வீடுகள் கையளிப்பு	https://www.virakesari.lk/article/227155	ta	virakesarilk	1759840860.0
lk_news	2025-10-07-adalk-cf563630	adalk-cf563630	2025-10-07	තහනම් උත්තේජකවලට එරෙහි පනතට කථානායක සහතිකය	https://www.ada.lk/sports/තහනම්-උත්තේජකවලට-එරෙහි-පනතට-කථානායක-සහතිකය/9-418961	si	adalk	1759840687.0
lk_news	2025-10-07-virakesarilk-5a724ad1	virakesarilk-5a724ad1	2025-10-07	வாழைச்சேனையில் அதிகளவு ஐஸ் போதைப்பொருளுடன் இளம் தம்பதி கைது	https://www.virakesari.lk/article/227157	ta	virakesarilk	1759840380.0
lk_news	2025-10-07-lankadeepalk-16b36bd2	lankadeepalk-16b36bd2	2025-10-07	ක්‍රීඩා උත්තේජක තහනම් පනතට කතානායක සහතිකය	https://www.lankadeepa.lk/news/කරඩ-උතතජක-තහනම-පනතට-කතනයක-සහතකය/101-680880	si	lankadeepalk	1759840044.0
lk_news	2025-10-07-tamilmirrorlk-1ea8af6a	tamilmirrorlk-1ea8af6a	2025-10-07	ஜனாதிபதியை சந்தித்த IMF பிரதிநிதிகள்	https://www.tamilmirror.lk/செய்திகள்/ஜனாதிபதியை-சந்தித்த-IMF-பிரதிநிதிகள்/175-365910	ta	tamilmirrorlk	1759838274.0
